street_address,sale_price,mls_number,County,City,Subdivision,home_type,Floor_Plan,Bedrooms,Full_Baths,Half_Baths,Yr_Blt,Above_Grade_Finished_SF,Above_Grade_Finished_Source,Below_Grade_Finished_SF,Below_Grade_Finished_Source,Lot_Size,District,Fr_Pl,Fireplace,Bsmnt?,Bsmnt,Garage/Parking?,Construct,Arc_Style,Roof_desc,Lot_Desc,Floodpl,City_Limits,Cent air,Heating,Cooling,Water,Sewer,Warranty
"210 Sitter Street Pleasant Hill, MO 64080",15000,2178982,Cass,Pleasant Hill,Walkers & Sitlers,Single Family,Ranch,4,2,0,1950,1848,Public Record,0,Public Record,0.279040404040404,Pleasant Hill,1,"Living Room, Wood Burning",0,"Block, Crawl Space",1,Frame,Traditional,Composition,"City Limits, City Lot, Level, Treed",0,1,1,Forced Air Gas,"Central Electric, Window Unit(s)",City/Public,City/Public,
"115 S Campbell Street Pleasant Hill, MO 64080",18500,2198507,Cass,Pleasant Hill,Pacific Railroad Add,Single Family,Ranch,2,2,0,1920,1397,Public Record,0,Public Record,0.241046831955923,Pleasant Hill,0,,1,Crawl Space,0,Frame,Traditional,Composition,"City Limits, City Lot, Treed",0,1,0,Wall Furnace,None,City/Public,City/Public,
"115 S Campbell Street Pleasant Hill, MO 64080",19500,2194371,Cass,Pleasant Hill,Pacific Railroad Add,Single Family,Ranch,2,2,0,1920,1397,Public Record,0,Public Record,0.241046831955923,Pleasant Hill,0,,1,"Not Finished, Partial",0,Frame,Traditional,Composition,"City Limits, City Lot, Treed",0,1,0,Central Electric,Window Unit(s),City/Public,City/Public,
"201 N State Route E Highway Strasburg, MO 64080",19500,2196497,Cass,Strasburg,Other,Single Family,1.5 Stories,2,1,0,1836,1088,Other,0,Public Record,0.502180899908173,Pleasant Hill,0,,0,Crawl Space,1,"Asbestos, Wood Siding","Ante Bellum, Traditional",Composition,"City Lot, Corner Lot, Estate Lot, Level",0,1,0,Propane Gas,Central Electric,City/Public,Septic,
"204 N Missouri Street Archie, MO 64725",27200,2190819,Cass,Archie,High School Add,Single Family,Ranch,2,1,0,1971,1176,Public Record,0,Public Record,0.447658402203857,Archie,0,,0,,1,Lap,,Composition,City Lot,0,1,1,Forced Air Gas,None,City/Public,City/Public,
"502 W Mill Street Strasburg, MO 64090",28000,2185333,Cass,Strasburg,Other,Single Family,Ranch,2,1,0,1920,1200,Public Record,0,Public Record,4,Strasburg,0,,0,,1,"Frame, Vinyl Siding",Traditional,Composition,"Corner Lot, Level",0,0,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,
"32102 State Route B Highway Garden City, MO 64747",31501,2216224,Cass,Garden City,Other,Single Family,Bungalow,2,1,0,1880,1082,Public Record,0,Public Record,5.3,Archie,1,,0,Crawl Space,1,"Frame, Wood Siding",,Composition,Acreage,1,0,1,Other,Other,Rural,Septic,
"6000 E 187th Street Belton, MO 64012",34900,2190617,Cass,Belton,Other,Single Family,Ranch,2,1,0,1942,760,Public Record,0,Public Record,1.5,Belton,0,,0,Crawl Space,0,Frame,Traditional,Composition,"Acreage, Level, Treed, Wooded",0,-1,1,Forced Air Gas,Central Electric,"City/Public, Unknown - Verify","Septic, Unknown",
"121 E Sunrise Drive Belton, MO 64012",35000,2199837,Cass,Belton,Bel Air Add,Single Family,Ranch,3,2,0,1965,1150,Public Record,0,Public Record,0.074931129476584,Belton,0,,0,,0,Other,,Composition,,0,0,1,Central Gas,Central Electric,City/Public,City/Public,
"709 S Park Avenue Garden City, MO 64747",36000,2211145,Cass,Garden City,Garden City,Single Family,Ranch,2,1,0,1964,792,Public Record,0,Public Record,0.178007346189164,Sherwood,0,,0,Crawl Space,1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,1,Radiant,Central Electric,City/Public,City/Public,
"17228 Chula Vista Drive Belton, MO 64012",40000,2159907,Cass,Belton,West Belton,Single Family,Bungalow,3,2,0,1960,1152,Appraisal,0,Appraisal,0.393939393939394,Belton,0,,0,,0,Frame,,Composition,,0,0,0,Central Gas,Central Gas,City/Public,City/Public,
"403 W Main Street Cleveland, MO 64734",50000,2225041,Cass,Cleveland,Cleveland,Single Family,Ranch,3,1,1,1900,1307,Public Record,0,Public Record,0.39485766758494,Cass-Midway,1,Living Room,0,Crawl Space,0,"Brick Trim, Frame",Other,Composition,City Lot,0,1,0,Natural Gas,None,City/Public,City/Public,
"202 S Halsey Avenue Harrisonville, MO 64701",50000,2152911,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,2 Stories,3,2,0,1920,1600,Other,0,Other,0.17688246097337,Harrisonville,0,,0,Crawl Space,1,Wood Siding,Traditional,Composition,City Lot,0,0,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,
